paradigm,beta_L,beta_Q,seed,federated_method,fedprox_mu,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,MSE_SecondaryInfection,ECE_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,MSE_NerveDysesthesia,ECE_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,MSE_Bleeding,ECE_Bleeding,disagreement_per_client_macro,disagreement_global_macro,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
centralized,1.0,1.5,42,,,0.7603911801143792,0.6578902464251639,0.000293035639970185,0.0020895439250937973,0.8335060525617083,0.679038001672614,0.0006677682977169752,0.0035460359665254746,0.8186975270168998,0.7049077992769702,0.00044025119859725237,0.0030071095277865727,0.649784704401065,0.6179555542316898,3.887034472427331e-05,0.0010539567338613172,0.7395764364778438,0.6296596305193818,2.525271884223912e-05,0.0007510734722018242,0.7041666666666667,0.0,0.49647676426374854,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
local,1.0,1.5,42,,,0.3608495472043133,0.44191849577841336,0.008515262657238053,0.03389555691224523,0.45965946127924734,0.5317393939876867,0.011015340476296842,0.043401190659900515,0.4266739028230832,0.5015917640792094,0.008691260998602957,0.03638195138511559,0.25968245683579083,0.3611137347251465,0.006958544113149401,0.027680528102566798,0.2973823678791319,0.37322909032161083,0.007395905040903017,0.028118557501398023,0.9965833333333334,1.0,0.21322969060084723,0.15543647324326948,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedavg,0.0,0.597680009558833,0.6124497275784268,0.0005595640041065053,0.004147594240804514,0.7519498951141745,0.6631415830605601,0.0012509519001469016,0.00893644018471241,0.7044060510955882,0.6956747159798443,0.0008529785554856062,0.005964276415606339,0.3629199686598052,0.5294679899394527,9.273590694647282e-05,0.0008903061971068382,0.571444123365764,0.5615146213338499,4.158965384704061e-05,0.0007993541657924652,0.66325,0.0,0.5819203619440679,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedprox,0.0005,0.5989155509504887,0.6108459252516562,0.0005608388473774539,0.004053821369384726,0.7553958440986287,0.6613028289584947,0.001246303436346352,0.008572865635156631,0.7015271139798572,0.6936124063097976,0.000863127876073122,0.005991228689750035,0.36346265430523833,0.5273950128411976,9.278284414904192e-05,0.0009014876559376717,0.5752765914182301,0.5610734528971347,4.114123294129968e-05,0.0007497034966945648,0.6629166666666667,0.0,0.5831489056933827,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedprox,0.001,0.597112951543491,0.6102875420607251,0.0005708682974727708,0.0043158357975383605,0.7523827023847417,0.6631776589391128,0.0012719817459583282,0.009356975793838502,0.6995451905546047,0.6917476350617684,0.0008770296699367464,0.006225837719937166,0.3632690433534715,0.5260969718782098,9.299621160607785e-05,0.0009237565100193024,0.573254869881146,0.5601279023638096,4.146556238993071e-05,0.0007567731663584709,0.6619999999999999,0.0,0.5826526881049209,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedprox,0.005,0.5890227718463331,0.6085751295772238,0.0005890209577046335,0.004476464976556599,0.7374950980937799,0.6591509442582857,0.0013069446431472898,0.009449450420836607,0.6933227846035807,0.692048561345877,0.0009098105365410447,0.006241614506890376,0.35805997635081166,0.5227801411335563,9.573045099386945e-05,0.0011433996260166168,0.5672132283371604,0.560320871571176,4.359820013632998e-05,0.0010713953524827957,0.65925,0.0,0.5877226589943002,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedprox,0.01,0.5862223329786415,0.6062338390641674,0.0006117060556789511,0.0046314557815591495,0.7316231940225032,0.6574316298841576,0.0013531282311305404,0.009809356845915317,0.6950528508195054,0.6894040914437737,0.0009502075263299048,0.006385499055186908,0.35368411716346726,0.5177504677620633,9.930580563377589e-05,0.0011811088770627975,0.5645291699090901,0.5603491671666752,4.41826596215833e-05,0.0011498583480715752,0.6554166666666666,0.0,0.5909228111080644,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedprox,0.05,0.5512832764983744,0.5841694965454918,0.0007260953261720715,0.004985086522375544,0.6959948375095638,0.6409502687553735,0.0014934336068108678,0.00940183457483848,0.669285061059809,0.6719199212247545,0.0012303985422477126,0.007022498711943627,0.3200548932787429,0.4731330883450304,0.00012729626905638725,0.0017613377422094345,0.5197983141453821,0.5506747078568084,5.325288657331839e-05,0.0017546750605106354,0.6280833333333333,0.0,0.6184446261843102,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
federated,1.0,1.5,42,fedprox,0.1,0.5088935463240706,0.554649601002662,0.0008547141987946816,0.005024137944293519,0.654670136294456,0.6248709179351938,0.0016553554451093078,0.00863629334171613,0.622514459866241,0.6430759672295572,0.0015438912669196725,0.007219761420041323,0.2973164363547853,0.42706826656083297,0.00015850664931349456,0.002386774867773056,0.46107315278080013,0.5235832522850641,6.11034338362515e-05,0.0018537221476435661,0.5718333333333333,0.0,0.6637359120651092,1.0,1.0,1.5,Risk_Category_Composite,100,0.5190968693176872,0.5064923629069619,367,12906,3299.608522234115
