paradigm,beta_L,beta_Q,seed,federated_method,fedprox_mu,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,MSE_SecondaryInfection,ECE_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,MSE_NerveDysesthesia,ECE_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,MSE_Bleeding,ECE_Bleeding,disagreement_per_client_macro,disagreement_global_macro,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
centralized,0.25,1.5,42,,,0.7603911801143792,0.6492720770902607,0.000293035639970185,0.0020895439250937973,0.8335060525617083,0.6722951183300702,0.0006677682977169752,0.0035460359665254746,0.8186975270168998,0.6925126537801761,0.00044025119859725237,0.0030071095277865727,0.649784704401065,0.6140614049595643,3.887034472427331e-05,0.0010539567338613172,0.7395764364778438,0.618219131291232,2.525271884223912e-05,0.0007510734722018242,0.6997499999999999,0.0,0.4819093016185234,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
local,0.25,1.5,42,,,0.3511983135323382,0.42844591019549394,0.00816261680520256,0.03353034797798221,0.4502694921668698,0.5162997055122381,0.010820665780920535,0.044238892345999675,0.38250416340856297,0.48124992239364894,0.008303447917569429,0.0357458640281111,0.26876938909330006,0.3587228266666098,0.006500324769149302,0.02697350185302396,0.3032502094606199,0.35751118620947886,0.007026028753170976,0.027163133684794106,0.9928333333333333,1.0,0.21652557672691247,0.1549735771851779,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedavg,0.0,0.614634342597011,0.6068059744929928,0.0005271317031656508,0.002531339639487366,0.7544656471713193,0.649158569918253,0.001112740719690919,0.002952006248136362,0.721845572931655,0.6854922815479645,0.0008634268306195736,0.0058443354380627475,0.39482468181699587,0.5252671900846503,9.57072843448259e-05,0.00045793037861585617,0.587401468468074,0.5673058564211034,3.6651978007284924e-05,0.0008710864931344986,0.66625,0.0,0.5554691289028364,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedprox,0.0005,0.6090631953487937,0.6065453954878688,0.0005361020757845836,0.00258606552425772,0.7509330698777514,0.649578203781966,0.0011209668591618538,0.002761890068650246,0.7133428739669044,0.6847562746788319,0.0008919463725760579,0.006218701574951411,0.3896977871795057,0.5235505317824497,9.438015695195645e-05,0.0003490513190627098,0.5822790503710132,0.5682965717082274,3.711491444846615e-05,0.0010146191343665123,0.666,0.0,0.5578869164059831,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedprox,0.001,0.6073165779578975,0.6057598111009295,0.0005368223701225361,0.0025202830874671536,0.7525376023978918,0.6491707157234076,0.0011231269454583526,0.0025292396247386935,0.7137805245992643,0.6833034037648206,0.000892036419827491,0.006144123216470082,0.3912700233746229,0.522538330140803,9.477621642872691e-05,0.0003767646849155426,0.5716781614598112,0.5680267947746868,3.734989877557382e-05,0.001031004823744297,0.6659999999999999,0.0,0.5575512896719994,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedprox,0.005,0.6005715198812683,0.6016752205046633,0.0005757787466791342,0.0025612600169455015,0.7432378687039125,0.6467682647568808,0.001198923448100686,0.0027131964005529885,0.7056791320381972,0.6807016542742502,0.0009680833900347352,0.006051978149761756,0.38345610026725946,0.5150037912300224,9.705507545731962e-05,0.00025191763415932655,0.5699129785157043,0.5642271717574995,3.905307312379591e-05,0.0012279478833079338,0.6608333333333334,0.0,0.5653327087827831,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedprox,0.01,0.5930842534960035,0.5968895567477832,0.0006009522385284072,0.002628758213482797,0.736556051902014,0.6421686585377825,0.0012507846113294363,0.0028496156781911853,0.6967655744082765,0.6754003793250694,0.0010143110994249582,0.006201922912150621,0.37976481813003177,0.5090610340196046,9.801334090298042e-05,6.149150431156158e-05,0.5592505695436913,0.5609281551086768,4.069990245625377e-05,0.0014020027592778206,0.6576666666666667,0.0,0.5687693607109983,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedprox,0.05,0.5551756241260614,0.5749852509454028,0.0007396490800601896,0.0030573410571863254,0.701867352408962,0.6296789657059274,0.0014786882093176246,0.0025982438425223033,0.6625758604665174,0.6559562332445296,0.0013075515162199736,0.007004116448263327,0.33785845262180975,0.46407537993760367,0.00012334353232290596,0.0007980065420269966,0.518400831006956,0.5502304248935501,4.901306238025427e-05,0.0018289973959326744,0.6321666666666667,0.0,0.6055469427524807,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,fedprox,0.1,0.49667961794622284,0.5444293360844387,0.0008858680421326426,0.003964845524790386,0.6457745801380187,0.6089971978452063,0.0017165928147733212,0.005082731326421101,0.5970037397076456,0.6254718354566839,0.001618418376892805,0.007155417145540317,0.3039768733784638,0.41904875622103516,0.00015012771473266184,0.001376396045088768,0.4399632785607633,0.5241995548148292,5.833326213178225e-05,0.0022448375821113586,0.5696666666666667,0.0,0.6588438008144464,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
