paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,disagreement_per_client_macro,disagreement_global_macro,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro
centralized,0.1,0.1,42,0.7605334163959694,0.7624519596158347,0.0002960474944302405,0.002130742903954039,0.0006724014529027045,0.0035357893481850625,0.00044685794273391366,0.003375891288121541,3.803229265031405e-05,0.0008580605642249187,2.689828943402972e-05,0.0007532304152846336,0.8322064067004348,0.8091771463773446,0.8246211227902953,0.8072149335545263,0.650150213191146,0.7285158900396965,0.7351559229020013,0.704899868491771,0.26558333333333334,0.0,0.8657288827938563,1.0
local,0.1,0.1,42,0.35064189509055677,0.44084852968270255,0.07579659459711366,0.1907903152821896,0.064514043770032,0.1749663464669138,0.07489014543534722,0.18815045112147927,0.09979145822289866,0.22333300393559039,0.06399073096017674,0.1767114596047749,0.40495845777704986,0.4714276211999177,0.41048801420013065,0.4935258400065929,0.2524394510364706,0.3869137845457892,0.3346816573485759,0.4115268729785105,0.9982500000000001,0.8878333333333333,0.18675258650607252,0.12758642975104156
federated,0.1,0.1,42,0.6937730693382385,0.7198535611393994,0.0004538514958767337,0.004673421401142453,0.0010775955161079764,0.010358374344805877,0.0006261633825488389,0.003932460259646177,7.11345492163673e-05,0.0025531549599642554,4.051253563375212e-05,0.0018496960401535034,0.7766378945396589,0.7767715292081624,0.7761813878598481,0.7686902392770077,0.548170542613052,0.667895440802559,0.674102452340395,0.6660570352698683,0.4335,0.0,0.8147361545227679,1.0
centralized,0.1,10.0,42,0.7605334163959694,0.7819268313977985,0.0002960474944302405,0.002130742903954039,0.0006724014529027045,0.0035357893481850625,0.00044685794273391366,0.003375891288121541,3.803229265031405e-05,0.0008580605642249187,2.689828943402972e-05,0.0007532304152846336,0.8322064067004348,0.8316788584729613,0.8246211227902953,0.8239641620844994,0.650150213191146,0.7476234921458967,0.7351559229020013,0.7244408128878367,0.09125000000000001,0.0,0.9580241440940039,1.0
local,0.1,10.0,42,0.434694372377806,0.5091647076369881,0.0011127956598102173,0.00448760293861851,0.0022347048623487355,0.00757145144045353,0.0019824747228994965,0.007085271858423949,0.0001594859757460654,0.001845101499930024,7.451707824657205e-05,0.001448586955666542,0.5916098392859568,0.6255615292725956,0.5000908435396421,0.6260552667292026,0.295308948234681,0.3792238559039807,0.351767858450944,0.4058181786421736,0.8983333333333334,0.90225,0.3725499647339327,0.3726765028541479
federated,0.1,10.0,42,0.6024495511054184,0.6503038556709365,0.0005466511147460551,0.001793016619980335,0.001154040452092886,0.0021136831392844515,0.0008791700238361955,0.0030499135653177896,0.00010791359090944752,0.000752326101064682,4.548039214569144e-05,0.0012561436742544174,0.758399691088595,0.7556560217252221,0.7339733649946892,0.7515909253535243,0.35714175045511193,0.517732871534852,0.5602833978832774,0.5762356040701476,0.08991666666666666,0.0,0.9582480242592121,1.0
